lp;plec;czym-jest-kognitywistyka;jakie-masz-oczekiwania-od-studiow;kiedy-te-oczekiwania-sie-spelnia;kim-chcesz-zostac
1;k;nauka o badaniu procesów zachodzących w mózgu;zdobycie wiedzy, zrozumienia siebie i innych;motywacji własnej, umiejętności połączenia pracy ze studiami;nie wiem, mam nadzieję że studia mi pomogą podjąć decyzję, pomagać ludziom
2;m;badanie umysłu, psychologia z wykorzystaniem narzędzi matematycznych;odnaleść pasję, zdobycie wiedzy;;naukowcem
3;m;nauka o poznaniu, świadomości i mózgu;ciekawe zajęcia, praktyczne i teoretyczne przygotowanie do rynku pracy, wspieranie inicjatyw studenckich;;badaczem substancji psychodelicznych
4;;badanie działania mózgu, nauka o poznaniu;zdobycie wiedzy, inspiracja;;tłumaczem koreańskiego z ciekawym cv
5;m;nauka o mózgu i poznaniu;zdobycie wiedzy;motywacji własnej, sposobu przedstawienia wiedzy;dumą mojej mamy, nie wiem
6;k;studia o umyśle i nowoczesnej technologii;że będzie ciekawie, miła atmosfera, ludzie zafascynowani dziedziną;;dobrym człowiekiem, naukowcem, agencja reklamowa
7;;interdyscyplinarna nauka o funkcjach poznawczych, mózgu i sztucznej inteligencji, łącząca informatykę, biologię, matematykę, lingwistykę;zdobycie wiedzy i umiejętności koniecznej do pracy zgodnej z wykształceniem;;
8;k;interdyscyplinarna nauka o mózgu;zdobycie wiedzy o nauce języków obcych i wpływie wielojęzyczności na mózg;;nie wiem
9;k;intedyscyplinarna nauka o umyśle człowieka i mózgu;zdobycie wiedzy o świecie, filozofii, programowania i tworzenia stron internetowych;;HR, copywriter
10;k;bardziej "scifi" psychologia;znalezienie swojej niszy;motywacji własnej;terapeutą
11;k;nauką o umyśle i poznawaniu;zdobycie wiedzy o umyśle, wpływie jego pracy na życie codzienne;motywacji własnej, otwartości prowadzących;działa w kampaniach społecznych i sektorze edukacji
12;m;jestem zbyt niewyspany;organizacja wiedzy;;
13;k;nauka o poznaniu, zbiór różnych dziedzin o poznaniu i mózgu;zwiększyć zainteresowanie kognitywistyką, znalezienie niszy;;człowiekiem spełnionym, zmieniającym co chwilę pracę "by się nie znudzić"
14;;nauka zajmująca się kolektywnym badaniem mózgu i jego funkcjami poznawczymi;przyjemnej atmosfery, zdania, cierpliwości prowadzących;;
15;k;cogito ergo sum, interdyscyplinarny kierunek łączący humanistykę z technologiami komputerowymi;zdobycie wiedzy;;project manager, pozostanie człowiekiem
16;k;nauka interdyscyplinarna łącząca wiele dziedzin naukowych i zagadnień;zakończyć studia z licencjatem;od tego czy wszystko zdam;może naukowcem
17;m;nauka o zdolnościach poznawczych człowieka, o tym co możemy się dowiedzieć o rzeczywistości i naszej z nią relacji;zdobycie wiedzy o neuroestetyce i orientacji przestrzennej;;architektem (podwójny kierunek), naukowcem
18;k;nowoczesna psychologia połączona z technologią, matematyką;nie wiem, bo jestem tu spontanicznie;;nie wiem, awaryjnie treserem psów
19;k;nauka o zmysłach, poznaniu;zdobycie wiedzy, że będzie ciekawie, że znajdę dobrą pracę;;kobieta zmienną jest, nie wiem
20;m;interdyscyplinarną dziedziną skupiającą się wokół ludzkiego umysłu, poznania i percepcji;zdobycie wiedzy, umiejętności programowania;motywacji własnej, interesujących wykładów;nie wiem
21;;nauka o poznaniu, multidyscyplinarna i ciekawa;zdobycie wiedzy;;nie wiem
22;m;nauka o mózgu, umyśle, poznaniu i percepcji;zdobycie wiedzy;;naukowcem, programistą
23;m;nauka o poznaniu i przetwarzaniu informacji;zdobycie wiedzy;;naukowcem, znanym propagatorem jungowskiej psychologii analitycznej
24;k;nauka wywodząca się z epistemologii o psychologii, nauka o poznaniu, sztuczna inteligencja;zdobycie wiedzy;;naukowcem
25;m;wykorzystanie wiedzy na temat działania ludzkiego umysłu w praktyce;zdobycie wiedzy, szeroki wybór ścieżek kariery;;nie wiem
26;;nauka związana z psychologią, logiką, filozofią i sztuczną inteligencją;zdobycia wiedzy, wspaniałego czasu na uczelni;;
27;k;nauka łącząca psychologię, logiczne myślenie i wiedzę o mózgu;zdobycie wiedzy;;pisarzem
28;m;nauka o ludzkim poznaniu i umyśle;zdobycie wiedzy, fajnych wykładowców;motywacji własnej, motywacji wykładowców, programu;nie wiem
29;k;nauka o mózgu, sięgająca do psychologii poznawczej i filozofii;zdobycie wiedzy, możliwość połączenia jej z choreoterapią;od elastyczności wykładowców, bo studiuję dwa kierunki;nie wiem
30;k;mix psychologii, informatyki i biologii;zdobycie wiedzy, ciekawych przedmiotów;;psychologiem
31;k;nauka badająca ludzki umysł;zdobycie wiedzy, głównie o humanistycznej strony kognitywistyki;;asystentką profesora, naukowcem
32;k;połączenie wielu dziedzin, działanie i zdobywanie wiedzy w obrębie szerokiego spektrum przedmiotów i tematów;zrozumienia i otwartości wykładowców w przypadku połączenia tylu dziedzin naukowych, zdobycie wiedzy a nie zawodu;;chcę się tutaj dowiedzieć
33;k;połączenie wielu dziedzin nauki w celu badania funkcjonowania mózgu i jego zachowań, procesów;zdobycie wiedzy;;pisarzem
34;k;nauka badająca procesy myślowe;znaleść coś, co mnie interesuje;;pianistką, dydaktykiem pianistyki
35;k;nauka o ludzkim umyśle;zdobycie wiedzy, czuć satysfakcję z nauki, czuć motywację;od prowadzących i samego kierunku;
36;k;nauka wielu przedmiotów na raz powiązanych z funkcjonowaniem ludzi i ich psychologią;zdobycie wiedzy;;
37;k;nauka o badaniu mózgu, definiowanie wyborów, wytłumaczenie dlaczego tak coś odbieramy i dlaczego nie inaczej;zdobycie wiedzy;motywacji własnej i samodzielnej pracy;PRowcem
38;m;nauka o poznaniu umysłu, człowieka, zachowaniu, psychice;zdobycie wiedzy, umiejętności związanych z nowymi technologiami i filozofią;;
39;m;nauka o umyśle;zdobycie wiedzy, poszerzenie horyzontów;;
40;k;nauka o poznaniu człowieka, percepcji;zdobycie wiedzy, rozwój zainteresowań;własnego zaangażowania;połączenie kognitywistyki ze sztuką i grafiką
41;k;nauka interdyscyplinarna o mózgu, różne dziedziny nauki, psychologia, informatyka, biologia;zdobycie wiedzy, rozwój;od zdania sesji;profilerem kryminalnym
42;;nauka interdyscyplinarna badająca ludzki umysł, w skład wchodzą psychologia i filozofia;;;
43;m;nauka poznania, interdyscyplinarność;duże możliwości rozwoju, zdobycie wiedzy;;coś związanego z psychologią, informatyką, ai
44;;nauka o poznaniu, procesach mózgu podczas działań;ciekawych przedmiotów, nie psychologii;;
45;k;nauka o procesach poznawczych;łatwy dostęp do materiałów naukowych, zdobycie wiedzy;;w reklamie, PR
46;m;interdyscyplinarna nauka o poznaniu;równomierne zdobywanie wiedzy z dyscyplin składowych;motywacji własnej, motywacji prowadzących;naukowiec
47;m;multidyscyplinarna nauka o pracy mózgu;brak, żeby nie być zawiedzonym;;ai, virtual reality
48;k;interdyscyplinarna nauka o poznaniu;zdobycie wiedzy, przygotowanie do wojny z cyborgami;od wielu czynników;spełnionym człowiekiem
49;;interdyscyplinarna nauka o zmysłach, umyśle i mózgu;zdobycie wiedzy, przygotowanie do wojny z cyborgami;sposobu przekazywania wiedzy prowadzących;nie wiem
50;k;interdyscyplinarna nauka o poznaniu, łącząca psychologię, filozofię, biologię, matematykę oraz informatykę;zdobycie wiedzy, zdobycie umiejętności analitycznych;motywacji własnej;kognitywistą, szkolenia w sektorze edukacji
51;k;nauka o umyśle, poznawaniu rzeczywistości;zdobycie wiedzy, zdobycie umiejętności nauki, komunikacji;programu, prowadzących, motywacji własnej i samodzielnej pracy;HR, nauka języków obcych, własny biznes
52;k;nauka o poznaniu, przetwarzaniu informacji;zdobycie wiedzy, ;samodzielnej pracy;terapeuta, naukowcem
53;k;nauka o procesach poznawczych i działania umysłu;zdobycie wiedzy, zdobycie wielu kompetencji, dosyć "ścisłych" studiów;;naukowcem
54;k;cudowna nauka, enigmatyczna;zdobycie wiedzy, rozwinięcie kariery;;UX
55;k;nauka o poznaniu;zdobycie wiedzy, rozwinięcie kariery;ode mnie;ai, terapeuta
56;;nauka o poznaniu, procesach umysłowych, łączy psychologię, poznawczą, filozofię, neuronaukę, matematykę, informatykę;zdobycie wiedzy naukowej;od mojego podejścia, wielu czynników;chcę się tutaj dowiedzieć
57;m;nauka o poznaniu, jak umysł oddziałuje na bodźce zewnętrzne;zdobycie wiedzy, im mniej matematyki tym lepiej;;nie wiem, chcę się tutaj dowiedzieć
58;m;nauka o poznaniu;nie żałować wyboru, rozwinięcie kariery;;nie wiem
59;k;nauka o mózgu i umyśle, z podstawą biologiczną;zdać je tym razem, zdobycie wiedzy, zdobycie umiejętności programowania i design thinking;;nie wiem, chcę się tutaj dowiedzieć
60;k;połączenie psychologii, filozofii, antropologii, ai, neurobiologii i lingwistyki, nauka o umyśle;zdobycie wiedzy;;nie wiem
61;;interdyscyplinarna nauka o procesach poznawczych, rozumowaniach, pamięci;zdobycia wiedzy, możliwości rozwoju, stabilnego zatrudnienia;samodzielnej pracy;naukowcem
62;m;nauka o mózgu i umyśle, o poznaniu;zdobycie wiedzy, rozwój zainteresowań;;nie wiem
63;k;interdyscyplinarna nauka o ludzkim poznaniu, świadomości, SI;zdobycie wiedzy;;nie wiem
64;k;nauka o poznaniu i mózgu;zdobycie wiedzy;;dobrym i szczęśliwym człowiekiem
65;m;nauka o poznaniu, zmysłach, umyśle, inteligencji ludzkiej;zdobycie wiedzy celem zdobycia pieniędzy;motywacji własnej;UX, milionerem
66;k;nauka o poznaniu, umyśle, mózgu i emocjach;zdobycie wiedzy, zaciekawienia;;to wątpliwe
67;k;nauka o poznaniu;żeby się mi podobało, żeby podtrzymało motywację;ode mnie i środowiska;ux, szczęśliwym człowiekiem
68;k;nauka o ludzkim poznaniu, sztucznej inteligencji;znalezienie pracy, w której można wykorzystać wiedzę z kogni;;
69;k;psychologia++;możliwość studiowania po angielsku i wyjazdu za granicę;;neurologiem
70;k;nauka o poznaniu;;;nie wiem
71;;nauka o poznaniu i rozumowaniu;;;niesprecyzowane, ukierunkowane na biologię
72;m;nauka o mózgu;zdobycie wiedzy;;milionerem
73;k;interdyscyplinarna nauka o poznaniu i mózgu, sztucznej inteligencji;;;informatyczny obszar kognitywistyki
74;k;interdyscyplinarna nauka o poznaniu łącząca wiedzę o mózgu, świadomości, percepcji, neruobiologii, logiki i psychologii;zrozumienie życia, znalezienie pracy, rozwój;;nie wiem
75;k;nauka o poznaniu;nic nie oczekuję, by się nie rozczarować;;nie wiem
76;k;interdyscyplinarna nauka o ludzkim poznaniu;zdobycie wiedzy;;nie wiem
77;k;nauka o ludzkim umyśle i procesach poznawczych, mózgu;zainteresowanych tym co robią prowadzących, multidyscyplinarnej wiedzy, znajdywania lepszych długopisów na korytarzu;;ux, fronend, tatuażystka
78;k;nauka o umyśle, procesach mózgowych i poznaniu;zdobycie wiedzy przydatnej w biznesie;;inżynier finansowy, naukowiec
79;k;nauka o sztucznej inteligencji, psychologia;brak, żeby nie być zawiedzonym;;szczęśliwym człowiekiem
80;k;nauka o ludzkim mózgu, poznaniu, emocjach;zdobycie wiedzy psychologicznej i z zakresu zarządzania;;nie wiem
81;k;interdyscyplinarna psychologia, nauka o poznaniu i umyśle;zdobycie wiedzy;motywacji własnej, sposobu prowadzenia zajęć;psychologiem
82;k;nauka o poznaniu, umyśle, mózgu, modelowaniu umysłu, studia;zdobycie wiedzy, także wiedzy przydatnej w codziennym życiu;od atmosfery;naukowiec
83;k;nauka o ludzkim mózgu i poznaniu;zdobycie wiedzy;od tego czy zajęcia będą interesujące;nie wiem
84;k;interdyscyplinarna nauka o poznaniu;;;
85;k;nauka o ludzkim mózgu i procesach poznawania;odnalezienia siebie i celu w życiu, mieć realne szanse na dobrze płatną i kreatywną pracę;;nie wiem
86;;nauka o zmysłach;ciężkiej nauki, zdobycie wiedzy;;naukowcem
87;m;nauka o ludzkim poznaniu;zdobycie wiedzy, możliwości łączenia dwóch kierunków;;chcę się tutaj dowiedzieć
88;k;nauka o ludzkim poznaniu;zdobycie wiedzy;motywacji własnej;badaczem osób z autyzmem
89;k;nauka o człowieku i tym jak przetwarza informacje;zdobycie wiedzy;motywacji własnej, samodzielnej pracy;badaczem społecznym, nie wiem
90;m;nauka o ludzkim umyśle;;;
91;k;nauka o uczeniu się, o poznaniu i mózgu;zdobycie wiedzy;;zawód związany z psychologią
92;m;nauka o mózgu, poznaniu. Psychologia z neurobiologią;zdobycie nowej wiedzy;gdy dostanę pracę związaną z kierunkiem;terapeutą behawioralnym
93;m;interdyscyplinarna nauka o poznaniu;zdobycie wiedzy, zaliczenie studiów;;programista
94;m;nauka o poznaniu, sztucznej inteligencji i mózgu;;;